tasknum,tsktknm,tskstfas,tskactcd,tskclass,tskrqact,tskrspn,tskdassn,tskdtc,tskddue,tskdcls,tskstown,tskstat,tskownts,tskclstm,tskadusr,tskadtm,tskmdusr,tskmdtm,tsactive,tsspare1,tsspare2,tsspare3,tsread1,tsread,tskorder,tssys
1934123D6,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2011-09-22,30,2011-10-22,2011-09-26,RO49,C,,,RO49,2011-09-22,RO49,2011-09-26,,,,,,,,
1934123D7,1934123,215B,VBA08,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2011-09-26,30,2011-10-26,2011-11-09,RO49,C,,,RO49,2011-09-26,RO49,2011-11-09,,,,,,,,
1934123D8,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2011-11-09,60,2012-01-08,2011-12-09,RO49,C,,,RO49,2011-11-09,RO49,2011-12-09,,,,,,,,
1934123D9,1934123,215B,VBA30,ACTIVE,Maiores nostrum porro qui.,Velit quibusdam dolorum quam corporis deserunt adipisci voluptate possimus.,2011-12-09,250,2012-08-15,2012-11-13,RO49,C,,,RO49,2011-12-09,RO49,2012-11-13,,,,,,,,
1986897D1,1986897,MOORE,VBA31,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2008-09-29,30,2008-10-29,2008-11-20,RO22,C,,,RO22,2008-10-23,RO22,2008-11-20,,,,,,,,
1986897D10,1986897,VSO,VBA07,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2016-01-27,10,2016-02-06,2016-02-09,RO22,C,,,RO22,2016-01-27,RO22,2016-02-09,,,,,,,,
1986897D11,1986897,MF,VBA05,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2016-05-19,9,2016-05-28,2016-06-02,RO22,C,,,RO22,2016-05-19,RO22,2016-06-02,,,,,,,,
1986897D12,1986897,MF,VBA07,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2016-06-02,15,2016-06-17,2016-06-20,RO22,C,,,RO22,2016-06-02,RO22,2016-06-20,,,,,,,,
1986897D13,1986897,SRENNER,OTH,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2017-11-13,60,2018-01-12,,SRENNER,P,,,SRENNER,2017-11-13,,,,,,,,,,
1986897D2,1986897,MOORE,VBA35,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2008-10-23,60,2008-12-22,2009-09-01,RO22,C,,,RO22,2008-10-23,RO22,2009-09-01,,,,,,,,
1986897D3,1986897,GRIDER,VBA05,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2008-11-20,60,2009-01-19,2008-11-20,RO22,C,,,RO22,2008-11-20,,,,,,,,,,
1986897D4,1986897,RO22,VBA34,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2010-05-04,60,2010-07-03,2010-05-04,RO22,C,,,,,RO22,2010-05-04,,,,,,,,
1986897D5,1986897,COACH,VBA30,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2013-12-30,30,2014-01-29,2013-12-30,RO22,C,,,RO22,2013-12-30,RO22,2013-12-30,,,,,,,,
1986897D6,1986897,HEARING,VBA14,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2014-03-20,90,2014-06-18,2014-07-17,RO27,C,,,RO27,2014-03-20,RO27,2014-07-17,,,,,,,,
1986897D7,1986897,KEI,VBA30,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2014-07-17,30,2014-08-16,2014-10-29,RO27,C,,,RO27,2014-07-17,RO22,2014-10-29,,,,,,,,
1986897D8,1986897,VSO,VBA07,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2016-01-14,10,2016-01-24,2016-01-25,RO22,C,,,RO22,2016-01-14,RO22,2016-01-25,,,,,,,,
1986897D9,1986897,CB,VBA43,ACTIVE,Qui autem aut ratione iure tenetur ipsum ut.,Sit alias debitis recusandae velit consequatur saepe labore dolorem.,2016-01-25,30,2016-02-24,2016-01-27,RO22,C,,,RO22,2016-01-25,RO22,2016-01-27,,,,,,,,
1993535D1,1993535,DRO,VBA30,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2008-10-15,30,2008-11-14,2011-01-10,RO26,C,,,RO26,2008-10-15,RO26,2011-01-10,,,,,,,,
1993535D10,1993535,DRO,VBA43,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2014-12-22,365,2015-12-22,2015-12-04,RO26,C,,,RO26,2014-12-22,RO26,2015-12-04,,,,,,,,
1993535D11,1993535,TRVLBD,VBA15,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2016-10-07,365,2017-10-07,,RO26,P,,,RO26,2015-05-22,RO26,2017-04-20,,,,,,,,
1993535D12,1993535,RVSR,VBA42,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2015-12-04,365,2016-12-03,2016-10-07,RO26,C,,,RO26,2015-12-04,RO26,2016-10-07,,,,,,,,
1993535D13,1993535,DRO,VBA08,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2016-10-07,30,2016-11-06,2016-12-07,RO26,C,,,RO26,2016-10-07,RO26,2016-12-07,,,,,,,,
1993535D14,1993535,VSR,VBA09,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2016-10-24,30,2016-11-23,2016-11-25,RO26,C,,,RO26,2016-10-24,RO26,2016-11-25,,,,,,,,
1993535D15,1993535,VSR,VBA06,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2016-11-25,10,2016-12-05,2016-11-29,RO26,C,,,RO26,2016-11-25,RO26,2016-12-07,,,,,,,,
1993535D16,1993535,DRO,VBA42,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2016-12-07,30,2017-01-06,2017-02-07,RO26,C,,,RO26,2016-12-07,RO26,2017-02-07,,,,,,,,
1993535D2,1993535,HEARING-HOLD,VBA14,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2008-10-15,49,2008-12-03,2008-12-03,RO26,C,,,RO26,2008-10-15,RO26,2008-12-03,,,,,,,,
1993535D3,1993535,VAMC 583,VBA04,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2009-01-02,45,2009-02-16,2009-03-05,RO26,C,,,RO26,2009-01-02,RO26,2009-03-05,,,,,,,,
1993535D4,1993535,FILES,VBA17,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2009-03-05,365,2010-03-05,2009-10-30,RO26,C,,,RO26,2009-03-05,RO26,2009-10-30,,,,,,,,
1993535D5,1993535,FILES,VBA30,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2009-11-30,470,2011-03-15,2011-03-22,RO26,C,,,RO26,2009-11-19,RO26,2011-03-22,,,,,,,,
1993535D6,1993535,FILES,VBA10,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2011-03-23,171,2011-09-10,2011-10-04,RO26,C,,,RO26,2011-03-23,RO26,2011-10-04,,,,,,,,
1993535D7,1993535,FILES / SSOC,VBA30,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2011-10-04,400,2012-11-07,2012-12-20,RO26,C,,,RO26,2011-10-04,RO26,2012-12-20,,,,,,,,
1993535D8,1993535,VSR,VBA09,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2012-12-20,60,2013-02-18,2014-10-17,RO26,C,,,RO26,2012-12-20,RO26,2014-10-17,,,,,,,,
1993535D9,1993535,FILES,VBA09,ACTIVE,Maxime fugiat voluptates eum id sunt vitae perspiciatis.,Debitis sed et molestiae dolore consectetur.,2014-10-17,30,2014-11-16,2014-12-22,RO26,C,,,RO26,2014-10-17,RO26,2014-12-22,,,,,,,,
2012948D1,2012948,DRO 3,VBA35,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2008-12-05,65,2009-02-08,2009-06-16,RO55,C,,,RO55,2008-12-05,RO55,2009-06-16,,,,,,,,
2012948D10,2012948,DRO2,VBA43,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-06-01,43,2015-07-14,2015-10-02,RO55,C,,,RO55,2015-06-01,RO55,2015-10-02,,,,,,,,
2012948D11,2012948,355/RDOMEN,VBA30,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-06-11,30,2015-07-11,2015-10-02,RO55,C,,,RO55,2015-06-11,RO55,2015-10-02,,,,,,,,
2012948D12,2012948,DRO1,VBA07,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-10-02,21,2015-10-23,2015-11-06,RO55,C,,,RO55,2015-10-02,RO55,2015-11-06,,,,,,,,
2012948D13,2012948,DRO4,VBA15,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-11-06,180,2016-05-04,2016-04-11,RO55,C,,,RO55,2015-11-06,RO55,2016-04-11,,,,,,,,
2012948D14,2012948,DRO1,VBA08,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2016-01-25,60,2016-03-25,2016-03-28,RO55,C,,,RO55,2016-01-25,RO55,2016-03-28,,,,,,,,
2012948D15,2012948,DAV,VBA07,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2016-03-28,11,2016-04-08,2016-04-11,RO55,C,,,RO55,2016-03-28,RO55,2016-04-11,,,,,,,,
2012948D16,2012948,CBARTOLET,A,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2017-06-28,90,2017-09-26,2017-10-03,CBARTOLET,C,,,CBARTOLET,2017-06-28,CBARTOLET,2017-10-03,,,,,,,,
2012948D2,2012948,AAPPS,VBA30,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2009-06-16,90,2009-09-14,2010-04-29,RO55,C,,,RO55,2009-06-16,RO55,2010-04-29,,,,,,,,
2012948D3,2012948,PULL CHPRE,VBA40,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2010-06-16,30,2010-07-16,2010-12-02,RO55,C,,,RO55,2010-06-16,RO55,2010-12-02,,,,,,,,
2012948D4,2012948,672,VBA30,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2011-02-25,60,2011-04-26,2011-08-16,RO55,C,,,RO55,2010-12-02,RO55,2011-08-16,,,,,,,,
2012948D5,2012948,DRO 3,VBA30,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2011-08-16,60,2011-10-15,2014-12-24,RO55,C,,,RO55,2011-08-16,RO55,2014-12-24,,,,,,,,
2012948D6,2012948,FILES,VBA08,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2014-12-24,60,2015-02-22,2015-02-12,RO55,C,,,RO55,2014-12-24,RO55,2015-02-12,,,,,,,,
2012948D7,2012948,DRO1,VBA01,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-02-12,30,2015-03-14,2015-03-11,RO55,C,,,RO55,2015-02-12,RO55,2015-03-11,,,,,,,,
2012948D8,2012948,DRO1,VBA08,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-03-11,60,2015-05-10,2015-04-17,RO55,C,,,RO55,2015-03-11,RO55,2015-10-02,,,,,,,,
2012948D9,2012948,ODELGADO,VBA30,ACTIVE,Quo voluptatem laudantium sunt eos quidem non est et.,Nostrum doloremque sit molestiae nobis.,2015-04-17,30,2015-05-17,2015-05-12,RO55,C,,,RO55,2015-04-17,RO55,2015-05-12,,,,,,,,
2076523D1,2076523,DRO,VBA17,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2009-04-20,60,2009-06-19,2009-06-22,RO45,C,,,RO45,2009-04-20,RO45,2009-06-22,,,,,,,,
2076523D10,2076523,RTC PULL,VBA08,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2014-03-19,30,2014-04-18,2014-07-29,RO45,C,,,RO45,2014-03-19,RO45,2014-07-29,,,,,,,,
2076523D11,2076523,F9,VBA15,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2014-07-29,600,2016-03-20,2016-01-29,RO45,C,,,RO45,2014-07-29,RO45,2016-01-29,,,,,,,,
2076523D12,2076523,59,B,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2017-09-26,30,2017-10-26,,,P,,,SBARTELL,2017-09-26,,,,,,,,,,
2076523D2,2076523,DRO,VBA14,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2009-06-22,90,2009-09-20,2009-07-07,RO45,C,,,RO45,2009-06-22,RO45,2009-10-05,,,,,,,,
2076523D3,2076523,RFR,VBA30,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2009-10-05,365,2010-10-05,2010-07-01,RO45,C,,,RO45,2009-10-05,RO45,2010-07-01,,,,,,,,
2076523D4,2076523,DRO,VBA30,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2010-08-10,30,2010-09-09,2010-08-31,RO45,C,,,RO45,2010-08-10,MLEANNON,2010-09-01,,,,,,,,
2076523D5,2076523,RO45,VBA34,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2010-09-29,60,2010-11-28,2010-09-29,RO45,C,,,,,RO45,2015-11-30,,,,,,,,
2076523D6,2076523,F9,VBA43,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2010-09-29,750,2012-10-18,2012-10-01,RO45,C,,,RO45,2010-09-29,RO45,2012-10-01,,,,,,,,
2076523D7,2076523,VSR,VBA06,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2012-08-22,60,2012-10-21,2012-08-22,RO45,C,,,RO45,2012-08-22,RO45,2012-08-22,,,,,,,,
2076523D8,2076523,F9,VBA43,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2012-10-01,365,2013-10-01,2014-02-05,RO45,C,,,RO45,2012-10-01,RO45,2014-02-05,,,,,,,,
2076523D9,2076523,FILES,VBA08,ACTIVE,Repudiandae nobis ea libero ducimus quasi et molestias ab.,Iure rem in sit at illum tempora ut vitae.,2014-02-05,30,2014-03-07,2014-03-19,RO45,C,,,RO45,2014-03-19,RO45,2014-03-19,,,,,,,,
2094805D1,2094805,SOC DIARY,VBA35,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2009-05-28,60,2009-07-27,2010-05-27,RO13,C,,,RO13,2009-05-28,RO13,2010-05-27,,,,,,,,
2094805D10,2094805,GLE,VBA14,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2016-12-01,57,2017-01-27,2017-02-10,RO19,C,,,RO19,2016-12-01,RO19,2017-02-10,,,,,,,,
2094805D11,2094805,VSR,VBA03,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2016-12-01,60,2017-01-30,2017-03-14,RO19,C,,,RO19,2016-12-01,RO19,2017-03-14,,,,,,,,
2094805D12,2094805,DRO,VBA14,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-02-10,1,2017-02-11,2017-03-09,RO19,C,,,RO19,2017-02-10,RO19,2017-03-09,,,,,,,,
2094805D13,2094805,GLE,VBA14,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-03-09,5,2017-03-14,2017-05-22,RO19,C,,,RO19,2017-03-09,RO19,2017-05-22,,,,,,,,
2094805D14,2094805,GLE,VBA01,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-03-09,30,2017-04-08,2017-04-24,RO19,C,,,RO19,2017-03-09,RO19,2017-04-24,,,,,,,,
2094805D15,2094805,VSR,VBA01,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-04-24,1,2017-04-25,2017-05-22,RO19,C,,,RO19,2017-04-24,RO19,2017-05-22,,,,,,,,
2094805D16,2094805,VSR,VBA01,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-05-22,30,2017-06-21,2017-06-26,RO19,C,,,RO19,2017-05-22,RO19,2017-07-05,,,,,,,,
2094805D17,2094805,GLE,VBA42,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-05,1,2017-07-06,2017-07-11,RO19,C,,,RO19,2017-07-05,RO19,2017-07-11,,,,,,,,
2094805D18,2094805,VSR,VBA32,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-11,1,2017-07-12,2017-07-12,RO19,C,,,RO19,2017-07-11,RO19,2017-07-12,,,,,,,,
2094805D19,2094805,VSR,VBA32,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-12,1,2017-07-13,2017-07-13,RO19,C,,,RO19,2017-07-12,RO19,2017-07-13,,,,,,,,
2094805D2,2094805,TLC,VBA30,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2010-05-27,60,2010-07-26,2010-07-08,RO13,C,,,RO13,2010-05-27,RO13,2010-07-08,,,,,,,,
2094805D20,2094805,VSR,VBA08,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-13,30,2017-08-12,2017-07-14,RO19,C,,,RO19,2017-07-13,RO19,2017-07-14,,,,,,,,
2094805D21,2094805,VSR,VBA07,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-14,10,2017-07-24,2017-07-25,RO19,C,,,RO19,2017-07-14,RO19,2017-07-25,,,,,,,,
2094805D22,2094805,GLE,VBA17,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-25,1,2017-07-26,2017-07-28,RO19,C,,,RO19,2017-07-25,RO19,2017-07-28,,,,,,,,
2094805D23,2094805,VSR,VBA30,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-07-28,1,2017-07-29,2017-08-01,RO19,C,,,RO19,2017-07-28,RO19,2017-08-01,,,,,,,,
2094805D24,2094805,59,B,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2017-08-22,30,2017-09-21,,,P,,,SBARTELL,2017-08-22,,,,,,,,,,
2094805D3,2094805,TLC,VBA40,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2010-08-13,30,2010-09-12,2010-08-13,RO13,C,,,RO13,2010-08-13,RO13,2010-08-13,,,,,,,,
2094805D4,2094805,APPEALS/ARR,VBA30,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2012-08-08,45,2012-09-22,2017-05-22,RO13,C,,,RO13,2012-08-08,RO19,2017-05-22,,,,,,,,
2094805D5,2094805,ARC,VBA08,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2012-08-17,30,2012-09-16,2013-01-22,RO49,C,,,RO49,2012-08-17,RO13,2013-01-22,,,,,,,,
2094805D6,2094805,APPEALS/ARR,VBA30,ACTIVE,Vel placeat nam illo vitae impedit amet maiores.,Asperiores excepturi corrupti reprehenderit.,2012-10-05,30,2012-11-04,2013-01-22,RO13,C,,,RO13,2012-10-05,RO13,2013-01-22,,,,,,,,
