ftkey,ftdesc,ftadusr,ftadtim,ftmdusr,ftmdtim,ftactive,fttype,ftsys,ftspare1,ftspare2,ftspare3
DG5202,"Humerus, other impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5203,"Clavicle or scapula, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5205,"Elbow, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5206,"Forearm, limitation of flexion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5207,"Forearm, limitation of extension of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5208,"Forearm, flexion limited to 100 deg. and extension to 45 deg.",SBARTELL,1999-05-05,,,A,DG,,,,
DG5209,"Elbow, other impairment of Flail joint",SBARTELL,1999-05-05,,,A,DG,,,,
DG5210,"Radius and ulna, nonunion of, with flail false joint",SBARTELL,1999-05-05,,,A,DG,,,,
DG5211,"Ulna, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5212,"Radius, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5213,"Forearm, supination and pronation, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5214,"Wrist, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5215,"Wrist, limitation of motion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5216,"Five digits of one hand, unfavorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5217,"Four digits of one hand, unfavorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5218,"Three digits of one hand, unfavorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5219,"Two digits of one hand, unfavorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5220,"Five digits of one hand, favorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5221,"Four digits of one hand, favorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5222,"Three digits of one hand, favorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5223,"Two digits of one hand, favorable ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5224,"Thumb, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5225,"Index finger, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5226,"Middle finger, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5227,"Ring or little finger, ankylosis of",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG5228,"Thumb, limitation of motion",SBARTELL,2004-03-10,,,A,DG,,,,
DG5229,"Index or long finger, limitation of motion",SBARTELL,2004-03-10,,,A,DG,,,,
DG5230,"Ring or little finger, limitation of motion",SBARTELL,2004-03-10,,,A,DG,,,,
DG5235,Vertebral fracture or dislocation,SBARTELL,2004-03-10,,,A,DG,,,,
DG5236,Sacroiliac injury and weakness,SBARTELL,2004-03-10,,,A,DG,,,,
DG5237,Lumbosacral or cervical strain,SBARTELL,2004-03-10,,,A,DG,,,,
DG5238,Spinal stenosis,SBARTELL,2004-03-10,,,A,DG,,,,
DG5239,Spondylolisthesis or segmental instability,SBARTELL,2004-03-10,,,A,DG,,,,
DG5240,Ankylosing spondylitis,SBARTELL,2004-03-10,,,A,DG,,,,
DG5241,Spinal Fusion,SBARTELL,2004-03-10,,,A,DG,,,,
DG5242,Degenerative arthritis of the spine (see also diagnostic code 5003),SBARTELL,2004-03-10,,,A,DG,,,,
DG5243,Intervertebral disc syndrome,SBARTELL,2004-03-10,,,A,DG,,,,
DG5250,"Hip, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5251,"Thigh, limitation of extension of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5252,"Thigh, limitation of flexion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5253,"Thigh, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5254,"Hip, flail joint",SBARTELL,1999-05-05,,,A,DG,,,,
DG5255,"Femur, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5256,"Knee, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5257,"Knee, other impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5258,"Cartilage, semilunar, dislocated",SBARTELL,1999-05-05,,,A,DG,,,,
DG5259,"Cartilage, semilunar, removal of, symptomatic",SBARTELL,1999-05-05,,,A,DG,,,,
DG5260,"Leg, limitation of flexion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5261,"Leg, limitation of extension of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5262,"Tibia and fibula, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5263,Genu recurvatum,SBARTELL,1999-05-05,,,A,DG,,,,
DG5270,"Ankle, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5271,"Ankle, limited motion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5272,"Subastragalar or tarsal joint, ankylosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5273,"Os calcis or astragalus, malunion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5274,Astragalectomy,SBARTELL,1999-05-05,,,A,DG,,,,
DG5275,"Bones, of the lower extremity, shortening of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5276,"Flatfoot, acquired",SBARTELL,1999-05-05,,,A,DG,,,,
DG5277,"Weak foot, bilateral",SBARTELL,1999-05-05,,,A,DG,,,,
DG5278,"Claw foot (pes cavus), acquired",SBARTELL,1999-05-05,,,A,DG,,,,
DG5279,"Metatarsalgia, anterior (Morton's disease)",SBARTELL,1999-05-05,,,A,DG,,,,
DG5280,"Hallux valgus, unilateral",SBARTELL,1999-05-05,,,A,DG,,,,
DG5281,"Hallux rigidus, unilateral, severe",SBARTELL,1999-05-05,,,A,DG,,,,
DG5282,Hammer toe,SBARTELL,1999-05-05,,,A,DG,,,,
DG5283,"Tarsal, or metatarsal bones, malunion of, or nonunion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5284,"Foot injuries, other",SBARTELL,1999-05-05,,,A,DG,,,,
DG5285,"Vertebra, fracture of, residuals",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5286,"Spine, complete bony fixation (ankylosis) of",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5287,"Spine, ankylosis of, cervical",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5288,"Spine, ankylosis of, dorsal",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5289,"Spine, ankylosis of, lumbar",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5290,"Spine, limitation of motion of, cervical",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5291,"Spine, limitation of motion of, dorsal",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5292,"Spine, limitation of motion of, lumbar",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5293,Intervertebral disc syndrome,SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5294,Sacro-iliac injury and weakness,SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5295,Lumbosacral strain,SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG5296,"Skull, loss of part of, both inner and outer tables",SBARTELL,1999-05-05,,,A,DG,,,,
DG5297,"Ribs, removal of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5298,"Coccyx, removal of",SBARTELL,1999-05-05,,,A,DG,,,,
DG5299,Other skeletal injury or motion loss,SBARTELL,1999-05-05,,,A,DG,,,,
DG5301,"Muscle injury, Group I",SBARTELL,1999-05-05,,,A,DG,,,,
DG5302,"Muscle injury, Group II",SBARTELL,1999-05-05,,,A,DG,,,,
DG5303,"Muscle injury, Group III",SBARTELL,1999-05-05,,,A,DG,,,,
DG5304,"Muscle injury, Group IV",SBARTELL,1999-05-05,,,A,DG,,,,
DG5305,"Muscle injury, Group V",SBARTELL,1999-05-05,,,A,DG,,,,
DG5306,"Muscle injury, Group VI",SBARTELL,1999-05-05,,,A,DG,,,,
DG5307,"Muscle injury, Group VII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5308,"Muscle injury, Group VIII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5309,"Muscle injury, Group IX",SBARTELL,1999-05-05,,,A,DG,,,,
DG5310,"Muscle injury, Group X",SBARTELL,1999-05-05,,,A,DG,,,,
DG5311,"Muscle injury, Group XI",SBARTELL,1999-05-05,,,A,DG,,,,
DG5312,"Muscle injury, Group XII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5313,"Muscle injury, Group XIII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5314,"Muscle injury, Group XIV",SBARTELL,1999-05-05,,,A,DG,,,,
DG5315,"Muscle injury, Group XV",SBARTELL,1999-05-05,,,A,DG,,,,
DG5316,"Muscle injury, Group XVI",SBARTELL,1999-05-05,,,A,DG,,,,
DG5317,"Muscle injury, Group XVII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5318,"Muscle injury, Group XVIII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5319,"Muscle injury, Group XIX",SBARTELL,1999-05-05,,,A,DG,,,,
DG5320,"Muscle injury, Group XX",SBARTELL,1999-05-05,,,A,DG,,,,
DG5321,"Muscle injury, Group XXI",SBARTELL,1999-05-05,,,A,DG,,,,
DG5322,"Muscle injury, Group XXII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5323,"Muscle injury, Group XXIII",SBARTELL,1999-05-05,,,A,DG,,,,
DG5324,"Diaphragm, rupture of, with herniation",SBARTELL,1999-05-05,,,A,DG,,,,
DG5325,"Muscle injury, facial muscles",SBARTELL,1999-05-05,,,A,DG,,,,
DG5326,"Muscle hernia, extensive",SBARTELL,1999-05-05,,,A,DG,,,,
DG5327,"Muscle, neoplasm of, malignant (excluding soft tissue sarcoma)",SBARTELL,1999-05-05,,,A,DG,,,,
DG5328,"Muscle, neoplasm of, benign, postoperative",SBARTELL,1999-05-05,,,A,DG,,,,
DG5329,"Sarcoma, soft tissue (of muscle, fat, or fibrous connective tissue)",SBARTELL,1999-05-05,,,A,DG,,,,
DG5399,Other muscle injury,SBARTELL,1999-05-05,,,A,DG,,,,
DG6000,Uveitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6001,Keratitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6002,Scleritis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6003,Iritis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6004,Cyclitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6005,Choroiditis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6006,Retinitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6007,"Hemorrhage, intra-ocular, recent",SBARTELL,1999-05-05,,,A,DG,,,,
DG6008,"Retina, detachment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6009,"Eye, injury of, unhealed",SBARTELL,1999-05-05,,,A,DG,,,,
DG6010,"Eye, tuberculosis of, active or inactive",SBARTELL,1999-05-05,,,A,DG,,,,
DG6011,"Retina, localized scars, atrophy, or irregularities of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6012,"Glaucoma, congestive or inflammatory",SBARTELL,1999-05-05,,,A,DG,,,,
DG6013,"Glaucoma, simple, primary, noncongestive",SBARTELL,1999-05-05,,,A,DG,,,,
DG6014,"New growths, malignant (eyeball only)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6015,"New growths, benign (eyeball and adnexa, other than superficial)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6016,"Nystagmus, central",SBARTELL,1999-05-05,,,A,DG,,,,
DG6017,"Conjunctivitis, trachomatous, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6018,"Conjunctivitis, other, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6019,"Ptosis, unilateral or bilateral",SBARTELL,1999-05-05,,,A,DG,,,,
DG6020,Ectropion,SBARTELL,1999-05-05,,,A,DG,,,,
DG6021,Entropion,SBARTELL,1999-05-05,,,A,DG,,,,
DG6022,Lagophthalmos,SBARTELL,1999-05-05,,,A,DG,,,,
DG6023,"Eyebrows, loss of, complete, unilateral or bilateral",SBARTELL,1999-05-05,,,A,DG,,,,
DG6024,"Eyelashes, loss of, complete, unilateral or bilateral",SBARTELL,1999-05-05,,,A,DG,,,,
DG6025,"Epiphora (lacrymal duct, interference with, from any cause)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6026,"Neuritis, optic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6027,"Cataract, traumatic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6028,"Cataract, senile, and others",SBARTELL,1999-05-05,,,A,DG,,,,
DG6029,Aphakia,SBARTELL,1999-05-05,,,A,DG,,,,
DG6030,"Accommodation, paralysis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6031,Dacryocystitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6032,"Eyelids, loss of portion of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6033,"Lens, crystalline, dislocation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6034,Pterygium,SBARTELL,1999-05-05,,,A,DG,,,,
DG6035,Keratoconus,SBARTELL,1999-05-05,,,A,DG,,,,
DG6061,Anatomical loss both eyes,SBARTELL,1999-05-05,,,A,DG,,,,
DG6062,Blindness in both eyes having only light perception,SBARTELL,1999-05-05,,,A,DG,,,,
DG6063,Anatomical loss of 1 eye; other eye blind (5/200 (1.5/60) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6064,Anatomical loss of 1 eye; other eye impaired (20/200 (6/60) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6065,Anatomical loss of 1 eye; other eye impaired (20/50 (6/21) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6066,Anatomical loss of 1 eye; other eye normal,SBARTELL,1999-05-05,,,A,DG,,,,
DG6067,"Blindness in 1 eye, having only light perception; other eye blind (5/200 (1.5/60) or less)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6068,"Blindness in 1 eye, having only light perception; other eye impaired (20/200 (6/60) or less)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6069,"Blindness in 1 eye, having only light perception; other eye impaired (20/50 (6/21) or less)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6070,"Blindness in 1 eye, having only light perception; other eye normal",SBARTELL,1999-05-05,,,A,DG,,,,
DG6071,Blindness in both eyes (5/200 (1.5/60) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6072,Blindness in one eye (5/200 (1.5/60) or less); other eye impaired (20/200 (6/60) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6073,Blindness in one eye (5/200 (1.5/60) or less); other eye impaired (20/50 (6/21) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6074,Blindness in one eye (5/200 (1.5/60) or less); other eye normal,SBARTELL,1999-05-05,,,A,DG,,,,
DG6075,Partial blindness in both eyes (20/200 (3/60) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6076,Partial blindness in one eye (20/200 (3/60) or less); other eye impaired (20/50 (6/21) or,SBARTELL,1999-05-05,,,A,DG,,,,
DG6077,Partial blindness in one eye (20/200 (3/60) or less); other eye normal,SBARTELL,1999-05-05,,,A,DG,,,,
DG6078,Partial blindness in both eyes (20/50 (6/21) or less),SBARTELL,1999-05-05,,,A,DG,,,,
DG6079,Partial blindness in one eye (20/50 (6/21) or less); other eye other eye normal,SBARTELL,1999-05-05,,,A,DG,,,,
DG6080,"Field vision, impairment of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6081,"Scotoma, pathological, unilateral",SBARTELL,1999-05-05,,,A,DG,,,,
DG6090,Diplopia (double vision),SBARTELL,1999-05-05,,,A,DG,,,,
DG6091,Symblepharon,SBARTELL,1999-05-05,,,A,DG,,,,
DG6092,"Diplopia, due to limited muscle function",SBARTELL,1999-05-05,,,A,DG,,,,
DG6099,Other eye disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG6100,Hearing loss,SBARTELL,1999-05-05,,,A,DG,,,,
DG6199,Other hearing loss,SBARTELL,1999-05-05,,,A,DG,,,,
DG6200,"Chronic suppurative otitis media, mastoiditis, or cholesteatoma (or any combination)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6201,Chronic nonsuppurative otitis media with effusion (serous otitis media),SBARTELL,1999-05-05,,,A,DG,,,,
DG6202,Otosclerosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6204,Peripheral vestibular disorders,SBARTELL,1999-05-05,,,A,DG,,,,
DG6205,Meniere's syndrome,SBARTELL,1999-05-05,,,A,DG,,,,
DG6207,"Auricle, loss or deformity",SBARTELL,1999-05-05,,,A,DG,,,,
DG6208,Malignant neoplasm of the ear (other than skin only),SBARTELL,1999-05-05,,,A,DG,,,,
DG6209,Benign neoplasm of the ear (other than skin only),SBARTELL,1999-05-05,,,A,DG,,,,
DG6210,Chronic otitis externa,SBARTELL,1999-05-05,,,A,DG,,,,
DG6211,"Tympanic membrane, perforation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6260,"Tinnitus, recurrent",SBARTELL,1999-05-05,,,A,DG,,,,
DG6275,"Loss of sense of smell, complete",SBARTELL,1999-05-05,,,A,DG,,,,
DG6276,"Loss of sense of taste, complete",SBARTELL,1999-05-05,,,A,DG,,,,
DG6299,Other sense organ disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG6300,"Cholera, Asiatic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6301,Visceral Leishmaniasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6302,Leprosy (Hansen's Disease),SBARTELL,1999-05-05,,,A,DG,,,,
DG6304,Malaria,SBARTELL,1999-05-05,,,A,DG,,,,
DG6305,Lymphatic Filariasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6306,Bartonellosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6307,Plague,SBARTELL,1999-05-05,,,A,DG,,,,
DG6308,Relapsing Fever,SBARTELL,1999-05-05,,,A,DG,,,,
DG6309,Rheumatic fever,SBARTELL,1999-05-05,,,A,DG,,,,
DG6310,"Syphilis, and other treponemal infections",SBARTELL,1999-05-05,,,A,DG,,,,
DG6311,"Tuberculosis, miliary",SBARTELL,1999-05-05,,,A,DG,,,,
DG6313,Avitaminosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6314,Beriberi,SBARTELL,1999-05-05,,,A,DG,,,,
DG6315,Pellagra,SBARTELL,1999-05-05,,,A,DG,,,,
