tasknum,tsktknm,tskstfas,tskactcd,tskclass,tskrqact,tskrspn,tskdassn,tskdtc,tskddue,tskdcls,tskstown,tskstat,tskownts,tskclstm,tskadusr,tskadtm,tskmdusr,tskmdtm,tsactive,tsspare1,tsspare2,tsspare3,tsread1,tsread,tskorder,tssys
2231180D6,2231180,215TB,VBA15,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2015-11-16 00:00:00 UTC,360,2016-11-10 00:00:00 UTC,2017-08-15 00:00:00 UTC,RO49,C,,,RO49,2010-12-03 00:00:00 UTC,RO49,2017-08-15 00:00:00 UTC,,,,,,,,
2231180D10,2231180,PRE,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2011-04-11 00:00:00 UTC,65,2011-06-15 00:00:00 UTC,2011-08-25 00:00:00 UTC,RO49,C,,,RO49,2011-04-11 00:00:00 UTC,RO49,2011-08-25 00:00:00 UTC,,,,,,,,
2231180D11,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2011-12-23 00:00:00 UTC,60,2012-02-21 00:00:00 UTC,2012-01-28 00:00:00 UTC,RO49,C,,,RO49,2011-08-25 00:00:00 UTC,RO49,2012-01-28 00:00:00 UTC,,,,,,,,
2231180D12,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2012-01-28 00:00:00 UTC,30,2012-02-27 00:00:00 UTC,2012-03-20 00:00:00 UTC,RO49,C,,,RO49,2012-01-28 00:00:00 UTC,RO49,2012-03-20 00:00:00 UTC,,,,,,,,
2231180D13,2231180,215B,VBA01,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2012-01-31 00:00:00 UTC,30,2012-03-01 00:00:00 UTC,2012-03-20 00:00:00 UTC,RO49,C,,,RO49,2012-01-31 00:00:00 UTC,RO49,2012-03-20 00:00:00 UTC,,,,,,,,
2231180D14,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2012-06-07 00:00:00 UTC,60,2012-08-06 00:00:00 UTC,2012-07-27 00:00:00 UTC,RO49,C,,,RO49,2012-03-20 00:00:00 UTC,RO49,2012-07-27 00:00:00 UTC,,,,,,,,
2231180D20,2231180,215B,VBA08,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2014-03-31 00:00:00 UTC,30,2014-04-30 00:00:00 UTC,2014-05-14 00:00:00 UTC,RO49,C,,,RO49,2014-03-31 00:00:00 UTC,RO49,2014-05-14 00:00:00 UTC,,,,,,,,
2231180D22,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2015-06-29 00:00:00 UTC,60,2015-08-28 00:00:00 UTC,2015-11-16 00:00:00 UTC,RO49,C,,,RO49,2014-05-15 00:00:00 UTC,RO49,2015-11-16 00:00:00 UTC,,,,,,,,
2231180D21,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2014-05-14 00:00:00 UTC,60,2014-07-13 00:00:00 UTC,2014-05-15 00:00:00 UTC,RO49,C,,,RO49,2014-05-14 00:00:00 UTC,RO49,2014-05-15 00:00:00 UTC,,,,,,,,
2231180D25,2231180,215C,VBA14,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2016-07-15 00:00:00 UTC,120,2016-11-12 00:00:00 UTC,2017-08-15 00:00:00 UTC,RO49,C,,,RO49,2016-07-15 00:00:00 UTC,RO49,2017-08-15 00:00:00 UTC,,,,,,,,
2231180D23,2231180,215C,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2016-07-14 00:00:00 UTC,90,2016-10-12 00:00:00 UTC,2016-10-21 00:00:00 UTC,RO49,C,,,RO49,2016-07-14 00:00:00 UTC,RO49,2016-10-21 00:00:00 UTC,,,,,,,,
2231180D24,2231180,215C,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2016-07-14 00:00:00 UTC,90,2016-10-12 00:00:00 UTC,2016-10-21 00:00:00 UTC,RO49,C,,,RO49,2016-07-14 00:00:00 UTC,RO49,2016-10-21 00:00:00 UTC,,,,,,,,
2231180D1,2231180,215B,VBA35,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-02-26 00:00:00 UTC,60,2010-04-27 00:00:00 UTC,2010-04-26 00:00:00 UTC,RO49,C,,,RO49,2010-02-26 00:00:00 UTC,RO49,2010-04-26 00:00:00 UTC,,,,,,,,
2231180D2,2231180,215B,VBA17,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2010-04-26 00:00:00 UTC,60,2010-06-25 00:00:00 UTC,2010-07-21 00:00:00 UTC,RO49,C,,,RO49,2010-04-26 00:00:00 UTC,RO49,2010-07-21 00:00:00 UTC,,,,,,,,
2231180D15,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2012-07-06 00:00:00 UTC,30,2012-08-05 00:00:00 UTC,2012-07-27 00:00:00 UTC,RO49,C,,,RO49,2012-07-06 00:00:00 UTC,RO49,2012-07-27 00:00:00 UTC,,,,,,,,
2231180D16,2231180,215B,VBA08,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2012-07-27 00:00:00 UTC,30,2012-08-26 00:00:00 UTC,2012-09-17 00:00:00 UTC,RO49,C,,,RO49,2012-07-27 00:00:00 UTC,RO49,2012-09-17 00:00:00 UTC,,,,,,,,
2231180D17,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2012-09-10 00:00:00 UTC,60,2012-11-09 00:00:00 UTC,2013-01-03 00:00:00 UTC,RO49,C,,,RO49,2012-09-17 00:00:00 UTC,RO49,2013-01-03 00:00:00 UTC,,,,,,,,
2231180D26,2231180,SW,VBA14,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2016-08-31 00:00:00 UTC,90,2016-11-29 00:00:00 UTC,2017-08-15 00:00:00 UTC,RO49,C,,,RO49,2016-08-31 00:00:00 UTC,RO49,2017-08-15 00:00:00 UTC,,,,,,,,
2231180D28,2231180,215C,VBA08,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2017-08-15 00:00:00 UTC,30,2017-09-14 00:00:00 UTC,2017-08-16 00:00:00 UTC,RO49,C,,,RO49,2017-08-15 00:00:00 UTC,RO49,2017-08-16 00:00:00 UTC,,,,,,,,
2231180D29,2231180,215C,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2017-08-15 00:00:00 UTC,30,2017-09-14 00:00:00 UTC,2017-08-22 00:00:00 UTC,RO49,C,,,RO49,2017-08-15 00:00:00 UTC,RO49,2017-08-22 00:00:00 UTC,,,,,,,,
2231180D27,2231180,215C,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2017-06-29 00:00:00 UTC,30,2017-07-29 00:00:00 UTC,2017-08-15 00:00:00 UTC,RO49,C,,,RO49,2017-06-29 00:00:00 UTC,RO49,2017-08-15 00:00:00 UTC,,,,,,,,
2231180D30,2231180,215A,VBA16,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2017-08-22 00:00:00 UTC,30,2017-09-21 00:00:00 UTC,2017-08-22 00:00:00 UTC,RO49,C,,,RO49,2017-08-22 00:00:00 UTC,RO49,2017-08-22 00:00:00 UTC,,,,,,,,
2231180D18,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2013-03-28 00:00:00 UTC,10,2013-04-07 00:00:00 UTC,2013-06-12 00:00:00 UTC,RO49,C,,,RO49,2013-03-28 00:00:00 UTC,RO49,2013-06-12 00:00:00 UTC,,,,,,,,
2231180D19,2231180,215B,VBA30,ACTIVE,Assumenda odit doloremque quasi.,Mollitia sint numquam perferendis architecto tempora expedita.,2013-12-04 00:00:00 UTC,60,2014-02-02 00:00:00 UTC,2014-03-31 00:00:00 UTC,RO49,C,,,RO49,2013-06-12 00:00:00 UTC,RO49,2014-03-31 00:00:00 UTC,,,,,,,,
2249056D5,2249056,216DEV,VBA06,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2013-07-24 00:00:00 UTC,400,2014-08-28 00:00:00 UTC,2014-09-05 00:00:00 UTC,RO44,C,,,RO44,2013-07-24 00:00:00 UTC,RO44,2014-09-05 00:00:00 UTC,,,,,,,,
2249056D6,2249056,216DEV,VBA43,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2014-09-05 00:00:00 UTC,120,2015-01-03 00:00:00 UTC,2015-02-11 00:00:00 UTC,RO44,C,,,RO44,2014-09-05 00:00:00 UTC,RO44,2015-02-11 00:00:00 UTC,,,,,,,,
2249056D9,2249056,216DRO,VBA42,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2015-05-11 00:00:00 UTC,90,2015-08-09 00:00:00 UTC,2015-07-31 00:00:00 UTC,RO44,C,,,RO44,2015-05-11 00:00:00 UTC,SBARTELL,2015-08-03 09:40:19 UTC,,,,,,,,
2249056D8,2249056,216EXAM,VBA01,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2015-03-06 00:00:00 UTC,160,2015-08-13 00:00:00 UTC,2015-05-11 00:00:00 UTC,RO44,C,,,RO44,2015-03-06 00:00:00 UTC,RO44,2015-05-11 00:00:00 UTC,,,,,,,,
2249056D7,2249056,RO377,VBA30,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2015-02-11 00:00:00 UTC,30,2015-03-13 00:00:00 UTC,2015-02-11 00:00:00 UTC,RO44,C,,,RO44,2015-02-11 00:00:00 UTC,RO44,2015-02-11 00:00:00 UTC,,,,,,,,
2249056D10,2249056,216CERT,VBA40,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2015-06-01 00:00:00 UTC,90,2015-08-30 00:00:00 UTC,2015-07-31 00:00:00 UTC,RO44,C,,,RO44,2015-06-01 00:00:00 UTC,SBARTELL,2015-08-03 09:40:19 UTC,,,,,,,,
2249056D11,2249056,RO44,VBA34,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2015-08-15 00:00:00 UTC,350,2016-07-30 00:00:00 UTC,2016-05-06 00:00:00 UTC,RO44,C,,,,,RO44,2016-05-06 00:00:00 UTC,,,,,,,,
2249056D12,2249056,216DAV,VBA07,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2016-05-06 00:00:00 UTC,10,2016-05-16 00:00:00 UTC,2016-05-16 00:00:00 UTC,RO44,C,,,RO44,2016-05-06 00:00:00 UTC,RO44,2016-05-16 00:00:00 UTC,,,,,,,,
2249056D1,2249056,216ELC,VBA35,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2010-03-31 00:00:00 UTC,60,2010-05-30 00:00:00 UTC,2010-03-31 00:00:00 UTC,RO44,C,,,RO44,2010-03-31 00:00:00 UTC,RO44,2010-04-21 00:00:00 UTC,,,,,,,,
2249056D2,2249056,216SOC,VBA17,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2011-07-22 00:00:00 UTC,60,2011-09-20 00:00:00 UTC,2012-05-17 00:00:00 UTC,RO44,C,,,RO44,2010-04-21 00:00:00 UTC,RO44,2012-05-17 00:00:00 UTC,,,,,,,,
2249056D3,2249056,216SSO,VBA42,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2012-06-26 00:00:00 UTC,300,2013-04-22 00:00:00 UTC,2013-04-23 00:00:00 UTC,RO44,C,,,RO44,2012-06-26 00:00:00 UTC,RO44,2013-04-23 00:00:00 UTC,,,,,,,,
2249056D13,2249056,59,B,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2017-08-22 00:00:00 UTC,30,2017-11-28 00:00:00 UTC,,,P,,,SBARTELL,2017-08-22 00:00:00 UTC,,,,,,,,,,
2249056D14,2249056,SRENNER,D,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2017-10-04 00:00:00 UTC,90,2018-01-02 00:00:00 UTC,2017-10-17 00:00:00 UTC,MMOHR,C,,,MMOHR,2017-10-04 00:00:00 UTC,MMOHR,2017-10-17 00:00:00 UTC,,,,,,,,
2249056D16,2249056,59,B,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2017-11-29 12:20:56 UTC,30,2017-12-29 17:20:56 UTC,,BVAPSORISIO,P,,,BVAPSORISIO,2017-11-29 12:20:56 UTC,,,,,,,,,,
2249056D15,2249056,25,A,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2017-11-29 12:20:55 UTC,95,2018-03-04 17:20:55 UTC,,BVAPSORISIO,P,,,BVAPSORISIO,2017-11-29 12:20:55 UTC,,,,,,,,,,
2249056D4,2249056,216SOC,VBA43,ACTIVE,Fuga enim consequuntur non consequatur corporis.,Ipsum rem non quos.,2013-04-23 00:00:00 UTC,180,2013-10-20 00:00:00 UTC,2013-07-24 00:00:00 UTC,RO44,C,,,RO44,2013-04-23 00:00:00 UTC,RO44,2013-07-24 00:00:00 UTC,,,,,,,,
2306397D1,2306397,FILES-DRO,VBA17,ACTIVE,Dolores nobis amet delectus odio.,,2010-07-21 00:00:00 UTC,450,2011-10-14 00:00:00 UTC,2012-04-21 00:00:00 UTC,RO21,C,,,RO21,2010-07-16 00:00:00 UTC,RO21,2012-04-21 00:00:00 UTC,,,,,,,,
2306397D6,2306397,AMC,VBA30,ACTIVE,Dolores nobis amet delectus odio.,,2013-07-19 00:00:00 UTC,60,2013-09-17 00:00:00 UTC,2013-09-30 00:00:00 UTC,RO21,C,,,RO21,2013-07-19 00:00:00 UTC,RO21,2013-09-30 00:00:00 UTC,,,,,,,,
2306397D8,2306397,DRO,VBA30,ACTIVE,Dolores nobis amet delectus odio.,,2013-12-16 00:00:00 UTC,90,2014-03-16 00:00:00 UTC,2013-12-16 00:00:00 UTC,RO21,C,,,RO21,2013-12-16 00:00:00 UTC,RO21,2013-12-16 00:00:00 UTC,,,,,,,,
2306397D9,2306397,MC 629,VBA26,ACTIVE,Dolores nobis amet delectus odio.,,2013-12-16 00:00:00 UTC,30,2014-01-15 00:00:00 UTC,2014-02-22 00:00:00 UTC,RO21,C,,,RO21,2013-12-16 00:00:00 UTC,RO21,2014-02-22 00:00:00 UTC,,,,,,,,
2306397D7,2306397,RO21,VBA34,ACTIVE,Dolores nobis amet delectus odio.,,2013-12-16 00:00:00 UTC,60,2014-02-14 00:00:00 UTC,2013-12-16 00:00:00 UTC,RO21,C,,,,,RO21,2013-12-16 00:00:00 UTC,,,,,,,,
2306397D10,2306397,DRO,VBA42,ACTIVE,Dolores nobis amet delectus odio.,,2014-02-22 00:00:00 UTC,30,2014-03-24 00:00:00 UTC,2014-06-06 00:00:00 UTC,RO21,C,,,RO21,2014-02-22 00:00:00 UTC,RO21,2014-06-06 00:00:00 UTC,,,,,,,,
2306397D11,2306397,DRO,VBA08,ACTIVE,Dolores nobis amet delectus odio.,,2014-06-06 00:00:00 UTC,30,2014-07-06 00:00:00 UTC,2014-06-19 00:00:00 UTC,RO21,C,,,RO21,2014-06-06 00:00:00 UTC,RO21,2014-06-19 00:00:00 UTC,,,,,,,,
2306397D12,2306397,ALG,VBA07,ACTIVE,Dolores nobis amet delectus odio.,,2014-06-19 00:00:00 UTC,21,2014-07-10 00:00:00 UTC,2014-07-03 00:00:00 UTC,RO21,C,,,RO21,2014-06-19 00:00:00 UTC,RO21,2014-07-03 00:00:00 UTC,,,,,,,,
2306397D13,2306397,TB,VBA15,ACTIVE,Dolores nobis amet delectus odio.,,2014-07-03 00:00:00 UTC,180,2014-12-30 00:00:00 UTC,2014-09-12 00:00:00 UTC,RO21,C,,,RO21,2014-07-03 00:00:00 UTC,RO21,2014-09-12 00:00:00 UTC,,,,,,,,
2306397D2,2306397,VAMC NOLA,VBA01,ACTIVE,Dolores nobis amet delectus odio.,,2012-04-21 00:00:00 UTC,60,2012-06-20 00:00:00 UTC,2013-05-30 00:00:00 UTC,RO21,C,,,RO21,2012-04-21 00:00:00 UTC,RO21,2013-05-30 00:00:00 UTC,,,,,,,,
2306397D14,2306397,WACO,VBA15,ACTIVE,Dolores nobis amet delectus odio.,,2017-07-26 00:00:00 UTC,180,2018-01-22 00:00:00 UTC,2017-07-26 00:00:00 UTC,RO21,C,,,RO21,2017-07-26 00:00:00 UTC,RO21,2017-07-26 00:00:00 UTC,,,,,,,,
2306397D5,2306397,VAMC,VBA01,ACTIVE,Dolores nobis amet delectus odio.,,2013-06-06 00:00:00 UTC,60,2013-08-05 00:00:00 UTC,2013-07-19 00:00:00 UTC,RO21,C,,,RO21,2013-06-06 00:00:00 UTC,RO21,2013-07-19 00:00:00 UTC,,,,,,,,
2306397D3,2306397,DRO,VBA30,ACTIVE,Dolores nobis amet delectus odio.,,2013-05-30 00:00:00 UTC,30,2013-06-29 00:00:00 UTC,2013-06-03 00:00:00 UTC,RO21,C,,,RO21,2013-05-30 00:00:00 UTC,RO21,2013-06-03 00:00:00 UTC,,,,,,,,
2306397D4,2306397,DRO,VBA30,ACTIVE,Dolores nobis amet delectus odio.,,2013-06-03 00:00:00 UTC,90,2013-09-01 00:00:00 UTC,2013-06-06 00:00:00 UTC,RO21,C,,,RO21,2013-06-03 00:00:00 UTC,RO21,2013-06-06 00:00:00 UTC,,,,,,,,
2309289D1,2309289,VVA,VBA35,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2010-07-22 00:00:00 UTC,60,2010-09-20 00:00:00 UTC,2011-03-11 00:00:00 UTC,RO18,C,,,RO18,2010-07-22 00:00:00 UTC,RO18,2011-03-11 00:00:00 UTC,,,,,,,,
2309289D2,2309289,VVA,VBA31,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2011-03-11 00:00:00 UTC,93,2011-06-12 00:00:00 UTC,2011-06-13 00:00:00 UTC,RO18,C,,,RO18,2011-03-11 00:00:00 UTC,RO18,2011-06-13 00:00:00 UTC,,,,,,,,
2309289D3,2309289,VVA,VBA31,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2011-06-13 00:00:00 UTC,30,2011-07-13 00:00:00 UTC,2011-08-22 00:00:00 UTC,RO18,C,,,RO18,2011-06-13 00:00:00 UTC,RO18,2011-08-22 00:00:00 UTC,,,,,,,,
2309289D4,2309289,VVA,VBA31,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2011-08-22 00:00:00 UTC,117,2011-12-17 00:00:00 UTC,2011-12-19 00:00:00 UTC,RO18,C,,,RO18,2011-08-22 00:00:00 UTC,RO18,2011-12-19 00:00:00 UTC,,,,,,,,
2309289D5,2309289,VVA,VBA31,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2011-12-19 00:00:00 UTC,30,2012-01-18 00:00:00 UTC,2012-01-20 00:00:00 UTC,RO18,C,,,RO18,2011-12-19 00:00:00 UTC,RO18,2012-01-20 00:00:00 UTC,,,,,,,,
2309289D6,2309289,VVA,VBA31,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2012-01-20 00:00:00 UTC,60,2012-03-20 00:00:00 UTC,2012-02-06 00:00:00 UTC,RO18,C,,,RO18,2012-01-20 00:00:00 UTC,RO18,2012-02-06 00:00:00 UTC,,,,,,,,
2309289D7,2309289,VVA,VBA40,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2012-03-14 00:00:00 UTC,120,2012-07-12 00:00:00 UTC,2012-07-12 00:00:00 UTC,RO18,C,,,RO18,2012-03-14 00:00:00 UTC,RO18,2012-07-12 00:00:00 UTC,,,,,,,,
2309289D11,2309289,VVA,VBA30,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2014-02-14 00:00:00 UTC,30,2014-03-16 00:00:00 UTC,2014-06-02 00:00:00 UTC,RO18,C,,,RO18,2014-02-14 00:00:00 UTC,RO27,2014-06-02 00:00:00 UTC,,,,,,,,
2309289D10,2309289,VVA,VBA01,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2014-01-23 00:00:00 UTC,30,2014-02-22 00:00:00 UTC,2014-02-14 00:00:00 UTC,RO18,C,,,RO18,2014-01-23 00:00:00 UTC,RO18,2014-02-14 00:00:00 UTC,,,,,,,,
2309289D13,2309289,JEAN  FINAL CERT,VBA30,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2014-06-13 00:00:00 UTC,40,2014-07-23 00:00:00 UTC,2014-07-25 00:00:00 UTC,RO27,C,,,RO27,2014-06-13 00:00:00 UTC,RO27,2014-07-25 00:00:00 UTC,,,,,,,,
2309289D12,2309289,DAV,VBA07,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2014-06-02 00:00:00 UTC,8,2014-06-10 00:00:00 UTC,2014-06-13 00:00:00 UTC,RO27,C,,,RO27,2014-06-02 00:00:00 UTC,RO27,2014-06-13 00:00:00 UTC,,,,,,,,
2309289D14,2309289,WH,VBA07,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2014-07-25 00:00:00 UTC,30,2014-08-24 00:00:00 UTC,2014-10-14 00:00:00 UTC,RO27,C,,,RO27,2014-07-25 00:00:00 UTC,RO27,2014-10-14 00:00:00 UTC,,,,,,,,
2309289D15,2309289,LME,VBA01,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2014-10-14 00:00:00 UTC,30,2014-11-13 00:00:00 UTC,2015-10-07 00:00:00 UTC,RO27,C,,,RO27,2014-10-14 00:00:00 UTC,RO27,2015-10-07 00:00:00 UTC,,,,,,,,
2309289D16,2309289,RFD,VBA17,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2015-10-07 00:00:00 UTC,120,2016-02-04 00:00:00 UTC,2016-08-15 00:00:00 UTC,RO27,C,,,RO27,2015-10-07 00:00:00 UTC,RO27,2016-08-15 00:00:00 UTC,,,,,,,,
2309289D17,2309289,KATE SSOC,VBA42,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2016-08-15 00:00:00 UTC,30,2016-09-14 00:00:00 UTC,2017-02-06 00:00:00 UTC,RO27,C,,,RO27,2016-08-15 00:00:00 UTC,RO27,2017-02-06 00:00:00 UTC,,,,,,,,
2309289D8,2309289,VVA,VBA40,ACTIVE,Non delectus porro voluptatem velit sit suscipit.,,2012-07-12 00:00:00 UTC,300,2013-05-08 00:00:00 UTC,2013-05-08 00:00:00 UTC,RO18,C,,,RO18,2012-07-12 00:00:00 UTC,RO18,2013-05-08 00:00:00 UTC,,,,,,,,
