Table,Column,Type,Required,Primary Key,Foreign Key,Unique,Index,Description
appeals,establishment_attempted_at,datetime,,,,,,Timestamp for when the appeal's establishment was last attempted.
appeals,establishment_canceled_at,datetime,,,,,,Timestamp when job was abandoned
appeals,establishment_error,string,,,,,,The error message if attempting to establish the appeal resulted in an error. This gets cleared once the establishment is successful.
appeals,establishment_last_submitted_at,datetime,,,,,,Timestamp for when the the job is eligible to run (can be reset to restart the job).
appeals,establishment_processed_at,datetime,,,,,,Timestamp for when the establishment has succeeded in processing.
appeals,establishment_submitted_at,datetime,,,,,,Timestamp for when the the intake was submitted for asynchronous processing.
appeals,id,integer (8) PK,x,x,,,,
appeals,legacy_opt_in_approved,boolean,,,,,,Indicates whether a Veteran opted to withdraw matching issues from the legacy process. If there is a matching legacy issue and it is not withdrawn then it is ineligible for the decision review.
appeals,original_hearing_request_type,string,,,,,,The hearing type preference for an appellant before any changes were made in Caseflow
appeals,poa_participant_id,string,,,,,,"Used to identify the power of attorney (POA) at the time the appeal was dispatched to BVA. Sometimes the POA changes in BGS after the fact, and BGS only returns the current representative."
appeals,receipt_date,date ∗,x,,,,,Receipt date of the appeal form. Used to determine which issues are within the timeliness window to be appealed. Only issues decided prior to the receipt date will show up as contestable issues.
appeals,stream_docket_number,string,,,,,,"Multiple appeals with the same docket number indicate separate appeal streams, mimicking the structure of legacy appeals."
appeals,stream_type,string,,,,,,"When multiple appeals have the same docket number, they are differentiated by appeal stream type, depending on the work being done on each appeal."
appeals,target_decision_date,date,,,,,,"If the appeal docket is direct review, this sets the target decision date for the appeal, which is one year after the receipt date."
appeals,updated_at,datetime,,,,,x,
appeals,uuid,uuid ∗,x,,,,x,"The universally unique identifier for the appeal, which can be used to navigate to appeals/appeal_uuid. This allows a single ID to determine an appeal whether it is a legacy appeal or an AMA appeal."
appeals,veteran_file_number,string ∗,x,,,,x,The VBA corporate file number of the Veteran for this review. There can sometimes be more than one file number per Veteran.
appeals,veteran_is_not_claimant,boolean,,,,,,"Selected by the user during intake, indicates whether the Veteran is the claimant, or if the claimant is someone else such as a dependent. Must be TRUE if Veteran is deceased."
appeal_series,,,,,,,,
appeal_series,created_at,datetime,,,,,,
appeal_series,id,integer PK,x,x,,,,
appeal_series,incomplete,boolean,,,,,,
appeal_series,merged_appeal_count,integer,,,,,,
appeal_series,updated_at,datetime,,,,,x,
hearing_appeal_stream_snapshots,,,,,,,,
hearing_appeal_stream_snapshots,appeal_id,integer FK,,,x,,x,LegacyAppeal ID; use as FK to legacy_appeals
hearing_appeal_stream_snapshots,created_at,datetime ∗,x,,,,,Automatic timestamp of when snapshot was created
hearing_appeal_stream_snapshots,hearing_id,integer FK,,,x,,x,LegacyHearing ID; use as FK to legacy_hearings
hearing_appeal_stream_snapshots,updated_at,datetime,,,,,x,Automatic timestamp of when snapshot was updated
appeal_views,,,,,,,,
appeal_views,appeal_id,integer ∗ FK,x,,x,,x,
appeal_views,appeal_type,string ∗,x,,,,x,
appeal_views,created_at,datetime ∗,x,,,,,
appeal_views,id,integer PK,x,x,,,,
appeal_views,last_viewed_at,datetime,,,,,,
appeal_views,updated_at,datetime ∗,x,,,,,
appeal_views,user_id,integer ∗ FK,x,,x,,x,
appellant_substitutions,,,,,,,,Store appellant substitution form data
appellant_substitutions,claimant_type,string ∗,x,,,,,Claimant type of substitute; needed to create Claimant record
appellant_substitutions,created_at,datetime ∗,x,,,,,Standard created_at/updated_at timestamps
appellant_substitutions,created_by_id,integer (8) ∗ FK,x,,x,,,User that created this record
appellant_substitutions,id,integer (8) PK,x,x,,,,
appellant_substitutions,poa_participant_id,string ∗,x,,,,,"Identifier of the appellant's POA, if they have a CorpDB participant_id"
appellant_substitutions,selected_task_ids,integer (8) ∗,x,,,,,User-selected task ids from source appeal
appellant_substitutions,source_appeal_id,integer (8) ∗ FK,x,,x,,x,The relevant source appeal for this substitution
appellant_substitutions,substitute_participant_id,string ∗,x,,,,,Participant ID of substitute appellant
appellant_substitutions,substitution_date,date ∗,x,,,,,Date of substitution
appellant_substitutions,target_appeal_id,integer (8) ∗ FK,x,,x,,x,The new appeal resulting from this substitution
appellant_substitutions,task_params,jsonb ∗,x,,,,,"JSON hash to hold parameters for new tasks, such as an EvidenceSubmissionWindowTask's end-hold date, with keys from selected_task_ids"
appellant_substitutions,updated_at,datetime ∗,x,,,,,Standard created_at/updated_at timestamps
attorney_case_reviews,,,,,,,,
attorney_case_reviews,attorney_id,integer FK,,,x,,,
attorney_case_reviews,created_at,datetime ∗,x,,,,,
attorney_case_reviews,document_id,string ∗,x,,,,,
attorney_case_reviews,document_type,string ∗,x,,,,,
attorney_case_reviews,id,integer PK,x,x,,,,
attorney_case_reviews,note,text,,,,,,
attorney_case_reviews,overtime,boolean,,,,,,
attorney_case_reviews,reviewing_judge_id,integer FK,,,x,,,
attorney_case_reviews,task_id,string ∗ FK,x,,x,,x,
attorney_case_reviews,untimely_evidence,boolean,,,,,,
attorney_case_reviews,updated_at,datetime ∗,x,,,,x,
attorney_case_reviews,work_product,string ∗,x,,,,,
available_hearing_locations,,,,,,,,
available_hearing_locations,address,string,,,,,,Full address of the location
available_hearing_locations,appeal_id,integer FK,,,x,,x,Appeal/LegacyAppeal ID; use as FK to appeals/legacy_appeals
available_hearing_locations,appeal_type,string,,,,,x,'Appeal' or 'LegacyAppeal'
available_hearing_locations,city,string,,,,,,"i.e 'New York', 'Houston', etc"
available_hearing_locations,classification,string,,,,,,"The classification for location; i.e 'Regional Benefit Office', 'VA Medical Center (VAMC)', etc"
available_hearing_locations,created_at,datetime ∗,x,,,,,Automatic timestamp of when hearing location was created
available_hearing_locations,distance,float,,,,,,Distance between appellant's location and the hearing location
available_hearing_locations,facility_id,string,,,,,,"Id associated with the facility; i.e 'vba_313', 'vba_354a', 'vba_317', etc"
available_hearing_locations,facility_type,string,,,,,,"The type of facility; i.e, 'va_benefits_facility', 'va_health_facility', 'vet_center', etc"
available_hearing_locations,id,integer (8) PK,x,x,,,,
available_hearing_locations,name,string,,,,,,"Name of location; i.e 'Chicago Regional Benefit Office', 'Jennings VA Clinic', etc"
available_hearing_locations,state,string,,,,,,"State in abbreviated form; i.e 'NY', 'CA', etc"
available_hearing_locations,updated_at,datetime ∗,x,,,,x,Automatic timestamp of when hearing location was updated
available_hearing_locations,veteran_file_number,string,,,,,x,The VBA corporate file number of the Veteran for the appeal
available_hearing_locations,zip_code,string,,,,,,
bgs_attorneys,,,,,,,,Cache of unique BGS attorney data — used for adding claimants to cases pulled from POA data
bgs_attorneys,created_at,datetime ∗,x,,,,x,Standard created_at/updated_at timestamps
bgs_attorneys,id,integer (8) PK,x,x,,,,
bgs_attorneys,last_synced_at,datetime,,,,,x,The last time BGS was checked
bgs_attorneys,name,string ∗,x,,,,x,Name
bgs_attorneys,participant_id,string ∗,x,,,,x,Participant ID
bgs_attorneys,record_type,string ∗,x,,,,,"Known types: POA State Organization, POA National Organization, POA Attorney, POA Agent, POA Local/Regional Organization"
bgs_attorneys,updated_at,datetime ∗,x,,,,x,Standard created_at/updated_at timestamps
bgs_power_of_attorneys,,,,,,,,Power of Attorney (POA) cached from BGS
bgs_power_of_attorneys,authzn_change_clmant_addrs_ind,string,,,,,,Authorization for POA to change claimant address
bgs_power_of_attorneys,authzn_poa_access_ind,string,,,,,,Authorization for POA access
bgs_power_of_attorneys,claimant_participant_id,string ∗,x,,,,x,Claimant participant ID -- use as FK to claimants
bgs_power_of_attorneys,created_at,datetime ∗,x,,,,x,Standard created_at/updated_at timestamps
bgs_power_of_attorneys,file_number,string,,,,,x,Claimant file number
bgs_power_of_attorneys,id,integer (8) PK,x,x,,,,
bgs_power_of_attorneys,last_synced_at,datetime,,,,,x,The last time BGS was checked
bgs_power_of_attorneys,legacy_poa_cd,string,,,,,,Legacy POA code
bgs_power_of_attorneys,poa_participant_id,string ∗,x,,,,x,POA participant ID -- use as FK to people
bgs_power_of_attorneys,representative_name,string ∗,x,,,,x,POA name
bgs_power_of_attorneys,representative_type,string ∗,x,,,,x,POA type
bgs_power_of_attorneys,updated_at,datetime ∗,x,,,,x,Standard created_at/updated_at timestamps
board_grant_effectuations,,,,,,,,Represents the work item of updating records in response to a granted issue on a Board appeal. Some are represented as contentions on an EP in VBMS. Others are tracked via Caseflow tasks.
board_grant_effectuations,appeal_id,integer (8) ∗ FK,x,,x,,x,The ID of the appeal containing the granted issue being effectuated.
board_grant_effectuations,contention_reference_id,string,,,,,x,"The ID of the contention created in VBMS. Indicates successful creation of the contention. If the EP has been rated, this contention could have been connected to a rating issue. That connection is used to map the rating issue back to the decision issue."
board_grant_effectuations,created_at,datetime,,,,,,
board_grant_effectuations,decision_document_id,integer (8) FK,,,x,,x,The ID of the decision document which triggered this effectuation.
board_grant_effectuations,decision_sync_attempted_at,datetime,,,,,,"When the EP is cleared, an asyncronous job attempts to map the resulting rating issue back to the decision issue. Timestamp representing the time the job was last attempted."
board_grant_effectuations,decision_sync_canceled_at,datetime,,,,,,Timestamp when job was abandoned
board_grant_effectuations,decision_sync_error,string,,,,,,Async job processing last error message. See description for decision_sync_attempted_at for the decision sync job description.
board_grant_effectuations,decision_sync_last_submitted_at,datetime,,,,,,Timestamp for when the the job is eligible to run (can be reset to restart the job).
board_grant_effectuations,decision_sync_processed_at,datetime,,,,,,Async job processing completed timestamp. See description for decision_sync_attempted_at for the decision sync job description.
board_grant_effectuations,decision_sync_submitted_at,datetime,,,,,,Async job processing start timestamp. See description for decision_sync_attempted_at for the decision sync job description.
board_grant_effectuations,end_product_establishment_id,integer (8) FK,,,x,,x,The ID of the end product establishment created for this board grant effectuation.
board_grant_effectuations,granted_decision_issue_id,integer (8) ∗ FK,x,,x,,x,The ID of the granted decision issue.
board_grant_effectuations,id,integer (8) PK,x,x,,,,
board_grant_effectuations,last_submitted_at,datetime,,,,,,Async job processing most recent start timestamp
board_grant_effectuations,updated_at,datetime,,,,,x,
cached_appeal_attributes,,,,,,,,
cached_appeal_attributes,appeal_id,integer,,,,,x,
cached_appeal_attributes,appeal_type,string,,,,,x,
cached_appeal_attributes,case_type,string,,,,,x,"The case type, i.e. original, post remand, CAVC remand, etc"
cached_appeal_attributes,closest_regional_office_city,string,,,,,x,Closest regional office to the veteran
cached_appeal_attributes,closest_regional_office_key,string,,,,,x,Closest regional office to the veteran in 4 character key
cached_appeal_attributes,created_at,datetime,,,,,,
cached_appeal_attributes,docket_number,string,,,,,,
cached_appeal_attributes,docket_type,string,,,,,x,
cached_appeal_attributes,former_travel,boolean,,,,,x,Determines if the hearing type was formerly travel board; only applicable to Legacy appeals
cached_appeal_attributes,hearing_request_type,string (10),,,,,x,"Stores hearing type requested by appellant; could be one of nil, 'Video', 'Central', 'Travel', or 'Virtual'"
cached_appeal_attributes,is_aod,boolean,,,,,x,Whether the case is Advanced on Docket
cached_appeal_attributes,issue_count,integer,,,,,,Number of issues on the appeal.
cached_appeal_attributes,power_of_attorney_name,string,,,,,x,'Firstname Lastname' of power of attorney
cached_appeal_attributes,suggested_hearing_location,string,,,,,x,"Suggested hearing location in 'City, State (Facility Type)' format"
cached_appeal_attributes,updated_at,datetime,,,,,x,
cached_appeal_attributes,vacols_id,string,,,,,x,
cached_appeal_attributes,veteran_name,string,,,,,x,"'LastName, FirstName' of the veteran"
cached_user_attributes,,,,,,,,VACOLS cached staff table attributes
cached_user_attributes,created_at,datetime ∗,x,,,,,
cached_user_attributes,sactive,string ∗,x,,,,,
cached_user_attributes,sattyid,string,,,,,,
cached_user_attributes,sdomainid,string PK,x,x,,,x,
cached_user_attributes,slogid,string ∗,x,,,,,
cached_user_attributes,smemgrp,string (8),,,,,,
cached_user_attributes,stafkey,string ∗,x,,,,,
cached_user_attributes,stitle,string (16),,,,,,
cached_user_attributes,svlj,string,,,,,,
cached_user_attributes,updated_at,datetime ∗,x,,,,x,
cavc_remands,,,,,,,,
cavc_remands,cavc_decision_type,string ∗,x,,,,,"CAVC decision type. Expecting 'remand', 'straight_reversal', or 'death_dismissal'"
cavc_remands,cavc_docket_number,string ∗,x,,,,,Docket number of the CAVC judgement
cavc_remands,cavc_judge_full_name,string ∗,x,,,,,CAVC judge that passed the judgement on the remand
cavc_remands,created_at,datetime ∗,x,,,,,Default timestamps
cavc_remands,created_by_id,integer (8) ∗ FK,x,,x,,,User that created this record
cavc_remands,decision_date,date ∗,x,,,,,"Date CAVC issued a decision, according to the CAVC"
cavc_remands,decision_issue_ids,integer (8) ∗,x,,,,,"Decision issues being remanded; IDs refer to decision_issues table. For a JMR, all decision issues on the previous appeal will be remanded. For a JMPR, only some"
cavc_remands,federal_circuit,boolean,,,,,,Whether the case has been appealed to the US Court of Appeals for the Federal Circuit
cavc_remands,id,integer (8) PK,x,x,,,,
cavc_remands,instructions,string ∗,x,,,,,Instructions and context provided upon creation of the remand record
cavc_remands,judgement_date,date ∗,x,,,,,"Date CAVC issued a judgement, according to the CAVC"
cavc_remands,mandate_date,date ∗,x,,,,,Date that CAVC reported the mandate was given
cavc_remands,remand_appeal_id,integer (8) FK,,,x,,x,Appeal created by this CAVC Remand
cavc_remands,remand_subtype,string ∗,x,,,,,"Type of remand. If the cavc_decision_type is 'remand', expecting one of 'jmp', 'jmpr', or 'mdr'. Otherwise, this can be null."
cavc_remands,represented_by_attorney,boolean ∗,x,,,,,Whether or not the appellant was represented by an attorney
cavc_remands,source_appeal_id,integer (8) ∗ FK,x,,x,,x,Appeal that CAVC has remanded
cavc_remands,updated_at,datetime ∗,x,,,,,Default timestamps
cavc_remands,updated_by_id,integer (8) FK,,,x,,,"User that updated this record. For MDR remands, judgement and mandate dates will be added after the record is first created."
certifications,,,,,,,,
certifications,already_certified,boolean,,,,,,
certifications,bgs_rep_address_line_1,string,,,,,,
certifications,bgs_rep_address_line_2,string,,,,,,
certifications,bgs_rep_address_line_3,string,,,,,,
certifications,bgs_rep_city,string,,,,,,
certifications,bgs_rep_country,string,,,,,,
certifications,bgs_rep_state,string,,,,,,
certifications,bgs_rep_zip,string,,,,,,
certifications,bgs_representative_name,string,,,,,,
certifications,bgs_representative_type,string,,,,,,
certifications,certification_date,string,,,,,,
certifications,certifying_office,string,,,,,,
certifications,certifying_official_name,string,,,,,,
certifications,certifying_official_title,string,,,,,,
certifications,certifying_username,string,,,,,,
certifications,completed_at,datetime,,,,,,
certifications,created_at,datetime ∗,x,,,,,
certifications,form8_started_at,datetime,,,,,,
certifications,form9_matching_at,datetime,,,,,,
certifications,form9_type,string,,,,,,
certifications,hearing_change_doc_found_in_vbms,boolean,,,,,,
certifications,hearing_preference,string,,,,,,
certifications,id,integer PK,x,x,,,,
certifications,loading_data,boolean,,,,,,
certifications,loading_data_failed,boolean,,,,,,
certifications,nod_matching_at,datetime,,,,,,
certifications,poa_correct_in_bgs,boolean,,,,,,
certifications,poa_correct_in_vacols,boolean,,,,,,
certifications,poa_matches,boolean,,,,,,
certifications,representative_name,string,,,,,,
certifications,representative_type,string,,,,,,
certifications,soc_matching_at,datetime,,,,,,
certifications,ssocs_matching_at,datetime,,,,,,
certifications,ssocs_required,boolean,,,,,,
certifications,updated_at,datetime ∗,x,,,,x,
certifications,user_id,integer,,,,,x,
certifications,v2,boolean,,,,,,
certifications,vacols_data_missing,boolean,,,,,,
certifications,vacols_hearing_preference,string,,,,,,
certifications,vacols_id,string,,,,,,
certifications,vacols_representative_name,string,,,,,,
certifications,vacols_representative_type,string,,,,,,
certification_cancellations,,,,,,,,
certification_cancellations,cancellation_reason,string ∗,x,,,,,
certification_cancellations,certification_id,integer ∗ FK,x,,x,,x,
certification_cancellations,created_at,datetime,,,,,,
certification_cancellations,email,string ∗,x,,,,,
certification_cancellations,id,integer PK,x,x,,,,
certification_cancellations,other_reason,string,,,,,,
certification_cancellations,updated_at,datetime,,,,,x,
claim_establishments,,,,,,,,
claim_establishments,created_at,datetime ∗,x,,,,,
claim_establishments,decision_type,integer,,,,,,
claim_establishments,email_recipient,string,,,,,,
claim_establishments,email_ro_id,string,,,,,,
claim_establishments,ep_code,string,,,,,,
claim_establishments,id,integer PK,x,x,,,,
claim_establishments,outcoding_date,datetime,,,,,,
claim_establishments,task_id,integer FK,,,x,,,
claim_establishments,updated_at,datetime ∗,x,,,,x,
claimants,,,,,,,,This table bridges decision reviews to participants when the participant is listed as a claimant on the decision review. A participant can be a claimant on multiple decision reviews.
claimants,created_at,datetime,,,,,,
claimants,decision_review_id,integer (8) FK,,,x,,x,The ID of the decision review the claimant is on.
claimants,decision_review_type,string,,,,,x,The type of decision review the claimant is on.
claimants,id,integer (8) PK,x,x,,,,
claimants,notes,text,,,,,,This is a notes field for adding claimant not listed and any supplementary information outside of unlisted claimant.
claimants,participant_id,string ∗ U,x,,,x,x,The participant ID of the claimant.
claimants,payee_code,string,,,,,,"The payee_code for the claimant, if applicable. payee_code is required when the claim is processed in VBMS."
claimants,type,string,,,,,,"The class name for the single table inheritance type of Claimant, for example VeteranClaimant, DependentClaimant, AttorneyClaimant, or OtherClaimant."
claimants,updated_at,datetime,,,,,x,
claims_folder_searches,,,,,,,,
claims_folder_searches,appeal_id,integer FK,,,x,,x,
claims_folder_searches,appeal_type,string ∗,x,,,,x,
claims_folder_searches,created_at,datetime,,,,,,
claims_folder_searches,id,integer PK,x,x,,,,
claims_folder_searches,query,string,,,,,,
claims_folder_searches,updated_at,datetime,,,,,x,
claims_folder_searches,user_id,integer FK,,,x,,x,
decision_documents,,,,,,,,
decision_documents,appeal_id,integer (8) ∗ FK,x,,x,,x,
decision_documents,appeal_type,string,,,,,,
decision_documents,attempted_at,datetime,,,,,,
decision_documents,canceled_at,datetime,,,,,,Timestamp when job was abandoned
decision_documents,citation_number,string ∗,x,,,,x,
decision_documents,created_at,datetime ∗,x,,,,,
decision_documents,decision_date,date ∗,x,,,,,
decision_documents,error,string,,,,,,
decision_documents,id,integer (8) PK,x,x,,,,
decision_documents,last_submitted_at,datetime,,,,,,
decision_documents,processed_at,datetime,,,,,,
decision_documents,redacted_document_location,string ∗,x,,,,,
decision_documents,submitted_at,datetime,,,,,,
decision_documents,updated_at,datetime ∗,x,,,,x,
decision_documents,uploaded_to_vbms_at,datetime,,,,,,
decision_issues,,,,,,,,Issues that represent a decision made on a decision review.
decision_issues,benefit_type,string,,,,,,"Classification of the benefit being decided on. Maps 1 to 1 to VA lines of business, and typically used to know which line of business the decision correlates to."
decision_issues,caseflow_decision_date,date,,,,,,"This is a decision date for decision issues where decisions are entered in Caseflow, such as for appeals or for decision reviews with a business line that is not processed in VBMS."
decision_issues,created_at,datetime,,,,,,Automatic timestamp when row was created.
decision_issues,decision_review_id,integer FK,,,x,,x,ID of the decision review the decision was made on.
decision_issues,decision_review_type,string,,,,,x,Type of the decision review the decision was made on.
decision_issues,decision_text,string,,,,,,"If decision resulted in a change to a rating, the rating issue's decision text."
decision_issues,deleted_at,datetime,,,,,x,
decision_issues,description,string,,,,,,Optional description that the user can input for decisions made in Caseflow.
decision_issues,diagnostic_code,string,,,,,,"If a decision resulted in a rating, this is the rating issue's diagnostic code."
decision_issues,disposition,string ∗,x,,,,x,The disposition for a decision issue. Dispositions made in Caseflow and dispositions made in VBMS can have different values.
decision_issues,end_product_last_action_date,date ∗,x,,,,,"After an end product gets synced with a status of CLR (cleared), the end product's last_action_date is saved on any decision issues that are created as a result. This is used as a proxy for decision date for non-rating issues that are processed in VBMS because they don't have a rating profile date, and the exact decision date is not available."
decision_issues,id,integer (8) PK,x,x,,,,
decision_issues,participant_id,string ∗,x,,,,,The Veteran's participant id.
decision_issues,percent_number,string,,,,,,percent_number from RatingIssue (prcntNo from Rating Profile)
decision_issues,rating_issue_reference_id,string,,,,,x,Identifies the specific issue on the rating that resulted from the decision issue (a rating issue can be connected to multiple contentions).
decision_issues,rating_profile_date,datetime,,,,,,"The profile date of the rating that a decision issue resulted in (if applicable). The profile_date is used as an identifier for the rating, and is the date that most closely maps to what the Veteran writes down as the decision date."
decision_issues,rating_promulgation_date,datetime,,,,,,The promulgation date of the rating that a decision issue resulted in (if applicable). It is used for calculating whether a decision issue is within the timeliness window to be appealed or get a higher level review.
decision_issues,subject_text,text,,,,,,subject_text from RatingIssue (subjctTxt from Rating Profile)
decision_issues,updated_at,datetime,,,,,x,
dispatch_tasks,,,,,,,,
dispatch_tasks,aasm_state,string,,,,,,
dispatch_tasks,appeal_id,integer ∗ FK,x,,x,,,
dispatch_tasks,assigned_at,datetime,,,,,,
dispatch_tasks,comment,string,,,,,,
dispatch_tasks,completed_at,datetime,,,,,,
dispatch_tasks,completion_status,integer,,,,,,
dispatch_tasks,created_at,datetime ∗,x,,,,,
dispatch_tasks,id,integer PK,x,x,,,,
dispatch_tasks,lock_version,integer,,,,,,
dispatch_tasks,outgoing_reference_id,string,,,,,,
dispatch_tasks,prepared_at,datetime,,,,,,
dispatch_tasks,started_at,datetime,,,,,,
dispatch_tasks,type,string ∗,x,,,,,
dispatch_tasks,updated_at,datetime ∗,x,,,,x,
dispatch_tasks,user_id,integer FK,,,x,,x,
distributed_cases,,,,,,,,
distributed_cases,case_id,string ∗,x,,,,x,
distributed_cases,created_at,datetime,,,,,,
distributed_cases,distribution_id,integer FK,,,x,,,
distributed_cases,docket,string ∗,x,,,,,
distributed_cases,docket_index,integer ∗,x,,,,,
distributed_cases,genpop,boolean,,,,,,
distributed_cases,genpop_query,string ∗,x,,,,,
distributed_cases,id,integer (8) PK,x,x,,,,
distributed_cases,priority,boolean,,,,,,
distributed_cases,ready_at,datetime ∗,x,,,,,
distributed_cases,task_id,integer ∗ FK,x,,x,,,
distributed_cases,updated_at,datetime,,,,,x,
distributions,,,,,,,,
distributions,completed_at,datetime,,,,,,
distributions,created_at,datetime ∗,x,,,,,
distributions,errored_at,datetime,,,,,,when the Distribution job suffered an error
distributions,id,integer (8) PK,x,x,,,,
distributions,judge_id,integer FK,,,x,,,
distributions,priority_push,boolean,,,,,,Whether or not this distribution is a priority-appeals-only push to judges via a weekly job (not manually requested)
distributions,started_at,datetime,,,,,,when the Distribution job commenced
distributions,statistics,json,,,,,,
distributions,status,string,,,,,,
distributions,updated_at,datetime ∗,x,,,,x,
docket_snapshots,,,,,,,,
docket_snapshots,created_at,datetime,,,,,,
docket_snapshots,docket_count,integer,,,,,,
docket_snapshots,id,integer PK,x,x,,,,
docket_snapshots,latest_docket_month,date,,,,,,
docket_snapshots,updated_at,datetime,,,,,x,
docket_switches,,,,,,,,Stores the disposition and associated data for Docket Switch motions.
docket_switches,created_at,datetime ∗,x,,,,x,Standard created_at/updated_at timestamps
docket_switches,disposition,string ∗,x,,,,,"Possible options are granted, partially_granted, and denied"
docket_switches,docket_type,string,,,,,,The new docket
docket_switches,granted_request_issue_ids,integer,,,,,,"When a docket switch is partially granted, this includes an array of the appeal's request issue IDs that were selected for the new docket. For full grant, this includes all prior request issue IDs."
docket_switches,id,integer (8) PK,x,x,,,,
docket_switches,new_docket_stream_id,integer (8) FK,,,x,,x,References the new appeal stream with the updated docket; initially null until created by workflow
docket_switches,old_docket_stream_id,integer (8) ∗ FK,x,,x,,x,References the original appeal stream with old docket
docket_switches,receipt_date,datetime ∗,x,,,,,Date the board receives the NOD with request for docket switch; entered by user performing docket switch
docket_switches,task_id,integer (8) ∗ FK,x,,x,,x,The task that triggered the switch
docket_switches,updated_at,datetime ∗,x,,,,,Standard created_at/updated_at timestamps
docket_tracers,,,,,,,,
docket_tracers,ahead_and_ready_count,integer,,,,,,
docket_tracers,ahead_count,integer,,,,,,
docket_tracers,created_at,datetime,,,,,,
docket_tracers,docket_snapshot_id,integer FK,,,x,,x,
docket_tracers,id,integer PK,x,x,,,,
docket_tracers,month,date,,,,,x,
docket_tracers,updated_at,datetime,,,,,x,
documents,,,,,,,,
documents,category_medical,boolean,,,,,,
documents,category_other,boolean,,,,,,
documents,category_procedural,boolean,,,,,,
documents,created_at,datetime,,,,,,
documents,description,string,,,,,,
documents,file_number,string,,,,,x,
documents,id,integer PK,x,x,,,,
documents,previous_document_version_id,integer,,,,,,
documents,received_at,date,,,,,,
documents,series_id,string,,,,,x,
documents,type,string,,,,,,
documents,updated_at,datetime,,,,,,
documents,upload_date,date,,,,,,
documents,vbms_document_id,string ∗,x,,,,x,
document_views,,,,,,,,
document_views,created_at,datetime,,,,,,
document_views,document_id,integer ∗ FK,x,,x,,x,
document_views,first_viewed_at,datetime,,,,,,
document_views,id,integer PK,x,x,,,,
document_views,updated_at,datetime,,,,,,
document_views,user_id,integer ∗ FK,x,,x,,x,
documents_tags,,,,,,,,
documents_tags,created_at,datetime,,,,,,
documents_tags,document_id,integer ∗ FK,x,,x,,x,
documents_tags,id,integer PK,x,x,,,,
documents_tags,tag_id,integer ∗ FK,x,,x,,x,
documents_tags,updated_at,datetime,,,,,,
end_product_code_updates,,,,,,,,"Caseflow establishes end products in VBMS with specific end product codes. If that code is changed outside of Caseflow, that is tracked here."
end_product_code_updates,code,string ∗,x,,,,,"The new end product code, if it has changed since last checked."
end_product_code_updates,created_at,datetime ∗,x,,,,,
